accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_from,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
28:40.6,2473,TCP  ,196.207.93.45,515,IOS App,,Male,US,Normal,English,0,Yes,15.69,Credit Card
31:40.3,1657,TCP  ,197.155.135.101,589,IOS App,,Male,CH,Normal,English,0,Yes,1425.38,Others
31:40.3,4741,TCP  ,197.155.135.104,1724,IOS App,,Male,PR,Normal,French,0,Yes,15.69,Credit Card
31:40.3,4356,TCP  ,197.155.135.112,702,IOS App,,Male,US,Normal,French,0,Yes,2280.646,Debit Card
31:40.6,4965,TCP  ,197.156.113.31,561,Microsoft Edge,,Male,IN,Normal,English,0,Yes,225.06,Credit Card
31:40.6,2275,TCP  ,197.156.133.1283,589,Safari,,Male,IT,Normal,English,0,Yes,35.19,Cash
31:40.6,2418,TCP  ,197.156.70.136,614,Safari,,Female,GB,Normal,English,0,Yes,56.8125,Cash
31:42.6,2535,TCP  ,197.156.77.145,614,Others,,Male,CA,Normal,English,0,Yes,1425.38,Debit Card
36:40.3,4907,TCP  ,197.223.11.256,1724,Microsoft Edge,,Male,IN,Normal,English,0,Yes,28.462,Cash
36:40.3,3479,TCP  ,197.225.146.155,579,Microsoft Edge,,Male,IT,Normal,English,0,Yes,91.485,Credit Card
37:40.3,4091,TCP  ,197.232.39.215,556,Safari,,Female,CH,Normal,English,0,Yes,19.6125,Cash
37:40.6,2379,TCP  ,197.234.219.469,586,Microsoft Edge,,Female,CN,Normal,English,0,Yes,2677.5,Cash
37:40.6,4517,TCP  ,197.237.137.146,556,Microsoft Edge,,Female,CA,Normal,English,0,Yes,675.18,Credit Card
37:40.6,2898,TCP  ,197.237.193.254,515,IOS App,,Female,CH,Normal,English,0,Yes,91.485,Credit Card
37:42.2,4367,TCP  ,197.237.90.116,614,IOS App,,Female,PE,Normal,English,0,Yes,225.06,Others
40:40.3,4687,TCP  ,197.250.192.215,586,Android App,,Male,US,Normal,swahili,0,Yes,56.924,Cash
40:40.3,1543,TCP  ,197.250.193.54,556,Android App,,Male,US,Normal,English,0,Yes,1425.38,Others
40:40.6,2752,TCP  ,197.250.195.8,586,Android App,,Female,PL,Normal,English,0,Yes,1080.306,Cash
43:40.6,2316,TCP  ,197.88.108.70,556,Others,,Female,US,Normal,English,0,Yes,225.06,Cash
43:40.6,3686,TCP  ,197.88.174.183,469,Safari,,Female,NO,Normal,English,0,Yes,675.18,Credit Card
43:40.6,4607,TCP  ,197.93.140.153,586,Safari,,Female,AR,Normal,English,0,Yes,1140.304,Debit Card
43:42.6,4850,TCP  ,198.0.151.71,614,Safari,,Female,US,Normal,English,0,Yes,15.69,Cash
46:40.6,2533,TCP  ,198.23.223.193,556,Mozilla Firefox,,Female,AU,Normal,English,0,Yes,1620.459,Debit Card
46:40.6,4170,TCP  ,198.52.178.260,92,Safari,,Male,IT,Normal,English,0,Yes,1140.304,Cash
51:40.3,3523,TCP  ,199.176.235.24,589,Mozilla Firefox,,Female,CH,Normal,English,0,Yes,1140.304,Credit Card
51:40.3,2070,TCP  ,199.180.135.115,579,Android App,,Male,IT,Normal,English,0,Yes,450.12,Cash
52:40.3,2670,TCP  ,199.244.214.117,586,Safari,,Male,US,Normal,English,0,Yes,130.112,Cash
52:40.6,2164,TCP  ,199.38.233.520,702,Others,,Male,CA,Normal,English,0,Yes,3.661,Debit Card
55:40.3,2952,TCP  ,201.175.141.236,556,Android App,,Male,US,Normal,English,0,Yes,3.661,Cash
55:40.6,2832,TCP  ,201.230.99.203,556,Android App,,Female,IT,Normal,English,0,Yes,1140.304,Cash
55:42.6,3714,TCP  ,201.34.30.74,614,Android App,,Male,CN,Normal,Spanish,0,Yes,7.322,Credit Card
58:40.3,4983,TCP  ,202.166.57.78,702,Microsoft Edge,,Female,JP,Normal,English,0,Yes,1080.306,Credit Card
58:40.3,3341,TCP  ,202.169.162.7,586,Microsoft Edge,,Male,IT,Normal,English,0,Yes,2700.765,Cash
01:40.3,4023,TCP  ,202.39.169.173,589,Chrome,,Male,SE,Normal,English,0,Yes,114.688,Debit Card
01:40.3,4953,TCP  ,202.45.11.17,702,Others,,Male,US,Normal,English,0,Yes,1140.304,Debit Card
01:40.3,3789,TCP  ,202.5.157.20,515,Others,,Female,CA,Normal,English,0,Yes,10.983,Cash
01:40.6,3487,TCP  ,202.57.38.187,589,Mozilla Firefox,,Female,US,Normal,English,0,Yes,24.633,Credit Card
04:40.3,2881,TCP  ,202.86.137.232,702,IOS App,,Female,CA,Normal,English,0,Yes,675.18,Credit Card
04:40.3,3304,TCP  ,202.88.196.242,586,Microsoft Edge,,Female,CN,Normal,italian,0,Yes,25.088,Credit Card
06:40.6,4087,TCP  ,203.122.16.194,561,IOS App,,Male,IT,Normal,English,0,Yes,1140.304,Others
07:40.3,4635,TCP  ,203.141.91.20,515,Chrome,,Female,AU,Normal,English,0,Yes,2280.646,Credit Card
07:43.3,2910,TCP  ,203.162.235.249,614,Others,,Female,GB,Normal,English,0,Yes,56.924,Debit Card
07:43.5,4695,TCP  ,203.162.235.249,639,Others,,Female,IT,Normal,English,0,Yes,10.983,Credit Card
10:40.3,2086,TCP  ,203.215.116.71,702,Mozilla Firefox,,Female,SE,Normal,English,0,Yes,1140.304,Others
10:40.3,2976,TCP  ,203.217.89.44,556,Mozilla Firefox,,Female,CH,Normal,English,0,Yes,130.112,Credit Card
10:40.6,3023,TCP  ,203.223.43.180,586,Android App,,Female,US,Normal,English,0,Yes,675.18,Debit Card
11:40.3,4788,TCP  ,203.3.232.34,561,Chrome,,Female,AE,Normal,English,0,Yes,1425.38,Cash
13:40.6,3099,TCP  ,203.94.56.21,556,Others,,Male,IT,Normal,English,0,Yes,162.64,Cash
13:42.9,2910,TCP  ,204.12.241.106,639,Safari,,Male,US,Normal,English,0,Yes,28.462,Credit Card
13:43.2,3743,TCP  ,204.128.210.16,639,Microsoft Edge,,Male,SE,Normal,English,0,Yes,675.18,Cash
16:40.3,4987,TCP  ,204.210.129.99,1725,Others,,Male,CA,Normal,English,0,Yes,450.12,Others
16:40.3,3532,TCP  ,204.239.136.105,702,Others,,Male,IN,Normal,English,0,Yes,15.69,Cash
16:40.3,3291,TCP  ,204.248.0.203,638,Others,,Male,IN,Normal,English,0,Yes,10.983,Cash
16:40.3,3251,TCP  ,204.42.24.157,515,Mozilla Firefox,,Female,CA,Normal,English,0,Yes,225.06,Cash
16:40.6,3242,TCP  ,204.48.120.259,586,Mozilla Firefox,,Female,US,Normal,English,0,Yes,162.64,Credit Card
16:40.6,4151,TCP  ,204.50.7.206,589,Android App,,Female,CN,Normal,English,0,Yes,1140.304,Credit Card
19:40.6,3478,TCP  ,205.164.4.179,515,Mozilla Firefox,,Male,IN,Normal,English,0,Yes,1140.304,Others
21:40.6,4617,TCP  ,205.202.35.195,589,IOS App,,Male,CN,Normal,English,0,Yes,675.18,Credit Card
22:40.3,2995,TCP  ,206.125.95.186,515,Others,,Male,JP,Normal,English,0,Yes,10.983,Cash
25:40.3,2224,TCP  ,207.134.139.200,586,Others,,Female,IT,Normal,English,0,Yes,50.176,Credit Card
25:40.6,3288,TCP  ,207.164.143.25,586,Mozilla Firefox,,Male,US,Normal,English,0,Yes,7.322,Cash
28:40.3,4554,TCP  ,207.63.87.232,586,Android App,,Male,AT,Normal,English,0,Yes,15.69,Debit Card
31:40.3,1963,TCP  ,208.226.153.34,515,Others,,Female,PL,Normal,English,0,Yes,225.06,Cash
31:40.6,4262,TCP  ,208.30.111.176,556,Others,,Female,US,Normal,English,0,Yes,10.983,Cash
31:40.6,4947,TCP  ,208.38.59.169,561,Safari,,Female,US,Normal,English,0,Yes,7.322,Debit Card
31:40.6,2553,TCP  ,208.54.37.250,614,Safari,,Male,SE,Normal,English,0,Yes,4725,Credit Card
31:42.0,4605,TCP  ,208.54.44.578,639,Safari,,Female,JP,Normal,English,0,Yes,143.36,Cash
34:40.3,3848,TCP  ,208.94.95.40,515,Mozilla Firefox,,Male,CH,Normal,English,0,Yes,2280.646,Cash
34:40.6,2927,TCP  ,208.98.53.40,556,Android App,,Male,RU,Normal,English,0,Yes,56.8125,Cash
36:40.2,2963,TCP  ,209.222.100.127,561,Mozilla Firefox,,Male,PR,Normal,English,0,Yes,1425.38,Cash
36:40.2,1990,TCP  ,209.222.105.188,533,Android App,,Male,NO,Normal,English,0,Yes,1425.38,Cash
37:40.3,2803,TCP  ,209.23.152.112,586,Microsoft Edge,,Female,JP,Normal,English,0,Yes,675.18,Credit Card
37:40.6,3760,TCP  ,209.37.250.73,586,Microsoft Edge,,Female,US,Normal,English,0,Yes,1425.38,Others
37:42.2,3102,TCP  ,209.52.88.147,639,Safari,,Female,NO,Normal,English,0,Yes,450.12,Cash
37:42.2,3052,TCP  ,209.52.88.34,614,Others,,Female,IN,Normal,English,0,Yes,1425.38,Others
40:40.3,4176,TCP  ,210.149.175.64,515,IOS App,,Male,SE,Normal,Japanese,0,Yes,945,Others
40:40.6,3340,TCP  ,210.162.230.129,556,Chrome,,Female,US,Normal,English,0,Yes,675.18,Cash
41:40.2,2253,TCP  ,210.176.208.255,561,Chrome,,Male,PL,Normal,English,0,Yes,50.176,Cash
41:40.2,2286,TCP  ,210.186.232.49,579,Chrome,,Male,CA,Normal,English,0,Yes,91.485,Cash
43:40.3,3812,TCP  ,210.212.29.211,586,Android App,,Female,CN,Normal,English,0,Yes,1140.304,Credit Card
46:40.3,4798,TCP  ,212.115.236.152,556,Microsoft Edge,,Male,CN,Normal,Russian,0,Yes,45.45,Cash
46:40.6,3222,TCP  ,212.129.11.233,556,Microsoft Edge,,Female,US,Normal,English,0,Yes,143.36,Cash
46:40.6,4694,TCP  ,212.158.180.68,190,Safari,,Female,US,Normal,English,0,Yes,1425.38,Cash
49:40.6,2199,TCP  ,212.181.71.72,515,Chrome,,Male,PL,Normal,English,0,Yes,15.69,Credit Card
51:40.6,2024,TCP  ,212.225.226.566,561,Android App,,Female,IT,Normal,German,0,Yes,1140.304,Cash
51:40.6,3608,TCP  ,212.225.226.613,589,Android App,,Female,SE,Normal,Spanish,0,Yes,225.06,Credit Card
52:40.6,4511,TCP  ,212.3.156.235,556,Android App,,Male,IT,Normal,Russian,0,Yes,91.485,Credit Card
55:40.3,2960,TCP  ,212.83.38.207,586,Microsoft Edge,,Male,CA,Normal,English,0,Yes,1140.304,Others
56:40.2,4424,TCP  ,212.96.109.971,579,Others,,Female,US,Normal,Russian,0,Yes,10.983,Debit Card
58:40.3,4239,TCP  ,213.135.237.221,556,Chrome,,Male,IN,Normal,English,0,Yes,28.462,Debit Card
58:40.3,4109,TCP  ,213.136.103.184,515,Chrome,,Female,IN,Normal,English,0,Yes,114.688,Others
58:40.6,3968,TCP  ,213.136.84.244,586,Others,,Male,IN,Normal,English,0,Yes,2700.765,Credit Card
01:40.3,3318,TCP  ,213.233.150.339,556,Chrome,,Female,CN,Normal,English,0,Yes,675.18,Cash
01:40.6,2472,TCP  ,213.233.84.374,702,Chrome,,Female,IT,Normal,Russian,0,Yes,16.422,Cash
01:40.6,4528,TCP  ,213.233.85.90,556,Chrome,,Female,CN,Normal,romanian,0,Yes,1425.38,Cash
01:41.9,2011,TCP  ,213.24.133.44,639,Others,,Female,GB,Normal,Russian,0,Yes,7.322,Credit Card
01:40.6,4025,TCP  ,213.243.169.21,639,Others,,Female,US,Normal,English,0,Yes,675.18,Others
01:40.6,4780,TCP  ,213.244.105.11,614,Others,,Male,JP,Normal,English,0,Yes,162.64,Debit Card
04:40.6,4210,TCP  ,213.87.128.55,586,Mozilla Firefox,,Female,US,Normal,Russian,0,Yes,1620.459,Credit Card
10:40.3,2348,TCP  ,216.4.56.140,515,Android App,,Female,US,Normal,English,0,Yes,450.12,Others
11:40.2,4876,TCP  ,216.82.241.35,1725,Chrome,,Female,JP,Normal,English,0,Yes,1140.304,Others
13:42.0,3775,TCP  ,217.118.91.126,639,Microsoft Edge,,Female,PE,Normal,Russian,0,Yes,31.815,Credit Card
13:42.0,1959,TCP  ,217.118.93.100,614,Microsoft Edge,,Female,KR,Normal,Russian,0,Yes,2700.765,Credit Card
16:40.2,4564,TCP  ,217.128.214.206,561,Others,,Male,US,Normal,French,0,Yes,56.924,Credit Card
16:40.6,4797,TCP  ,217.165.146.114,702,Microsoft Edge,,Female,IT,Normal,English,0,Yes,1890,Credit Card
19:41.7,2966,TCP  ,219.75.109.247,614,Android App,,Female,PE,Normal,English,0,Yes,1140.304,Credit Card
22:40.3,2525,TCP  ,220.136.68.38,515,Mozilla Firefox,,Female,PL,Normal,English,0,Yes,1425.38,Debit Card
25:40.6,2417,TCP  ,220.77.173.115,515,Others,,Female,JP,Normal,English,0,Yes,2280.646,Credit Card
25:42.1,3551,TCP  ,220.92.83.10,614,Others,,Male,RU,Normal,English,0,Yes,10.983,Credit Card
25:42.2,3222,TCP  ,221.105.243.93,639,Others,,Female,AT,Normal,Japanese,0,Yes,25.088,Cash
31:40.2,2987,TCP  ,222.255.236.117,561,Android App,,Female,US,Normal,English,0,Yes,675.18,Cash
31:40.3,2595,TCP  ,222.255.236.117,586,Android App,,Female,JP,Normal,English,0,Yes,450.12,Cash
31:40.6,2695,TCP  ,222.255.236.117,515,Android App,,Male,SE,Normal,English,0,Yes,675.18,Cash
31:40.6,3194,TCP  ,222.255.236.117,639,Chrome,,Female,NO,Normal,English,0,Yes,1140.304,Credit Card
36:40.6,2715,TCP  ,223.196.243.91,561,IOS App,,Female,US,Normal,English,0,Yes,1140.304,Cash
37:40.6,3132,TCP  ,223.207.245.230,556,Others,,Male,IT,Normal,Thai,0,Yes,43.9875,Cash
37:40.6,2288,TCP  ,223.207.27.236,515,Others,,Male,US,Normal,Thai,0,Yes,24.633,Cash
37:42.3,4922,TCP  ,223.217.91.224,614,Others,,Male,IT,Normal,English,0,Yes,1890,Credit Card
41:40.6,3030,TCP  ,1.115.198.114,561,IOS App,,Female,US,Normal,English,0,Yes,114.688,Others
43:40.3,4584,TCP  ,1.129.96.21,702,Safari,,Male,CN,Normal,English,0,Yes,43.9875,Cash
43:42.3,2012,TCP  ,1.136.97.445,639,Others,,Male,IT,Normal,English,0,Yes,1140.304,Cash
43:42.3,4521,TCP  ,1.144.96.1964,614,Others,,Female,PL,Normal,English,0,Yes,130.112,Cash
46:40.2,4406,TCP  ,1.20.34.70,589,Mozilla Firefox,,Female,PL,Normal,English,0,Yes,1140.304,Cash
46:40.6,2634,TCP  ,1.232.207.89,702,Android App,,Female,AT,Normal,English,0,Yes,56.924,Credit Card
49:40.6,3443,TCP  ,1.39.26.20,515,Chrome,,Female,IT,Normal,English,0,Yes,91.485,Cash
52:40.2,1939,TCP  ,1.39.60.81,586,Microsoft Edge,,Female,US,Normal,English,0,Yes,10.605,Cash
52:40.6,4343,TCP  ,1.39.61.223,556,IOS App,,Male,RU,Normal,English,0,Yes,10.605,Cash
55:40.5,4050,TCP  ,1.46.47.106,702,Android App,,Female,PL,Normal,Thai,0,Yes,675.18,Cash
55:42.2,3728,TCP  ,1.47.201.257,639,Android App,,Female,US,Normal,Thai,0,Yes,91.485,Cash
58:40.6,3475,TCP  ,1.75.249.45,702,Chrome,,Female,RU,Normal,Spanish,0,Yes,10.983,Debit Card
01:40.6,4986,TCP  ,2.126.140.73,702,Microsoft Edge,,Female,IT,Normal,Spanish,0,Yes,3.661,Credit Card
01:40.6,3830,TCP  ,2.132.103.223,561,IOS App,,Female,IT,Normal,Spanish,0,Yes,114.688,Cash
01:40.6,2954,TCP  ,2.135.166.140,639,Chrome,,Female,CA,Normal,Spanish,0,Yes,114.688,Cash
04:40.2,2320,TCP  ,2.186.219.46,702,Android App,,Female,IT,Normal,Spanish,0,Yes,10.605,Cash
06:40.2,4764,TCP  ,2.217.150.122,1726,Android App,,Female,IT,Normal,Spanish,0,Yes,450.12,Cash
07:40.5,1736,TCP  ,2.29.125.66,586,Chrome,,Female,DK,Normal,Spanish,0,Yes,450.12,Debit Card
13:40.2,4057,TCP  ,5.100.119.163,556,Mozilla Firefox,,Female,CA,Normal,Spanish,0,Yes,10.983,Cash
13:40.6,4904,TCP  ,5.1.20.907,586,Mozilla Firefox,,Female,IT,Normal,Spanish,0,Yes,225.06,Debit Card
16:40.2,3839,TCP  ,5.120.174.37,561,Android App,,Female,PE,Normal,Spanish,0,Yes,450.12,Cash
16:40.2,4176,TCP  ,5.120.239.245,589,Android App,,Female,KR,Normal,Spanish,0,Yes,3780,Cash
16:40.2,3258,TCP  ,5.12.152.171,1726,Android App,,Male,KR,Normal,Spanish,0,Yes,50.176,Cash
16:40.6,3797,TCP  ,5.122.242.44,586,Mozilla Firefox,,Male,CH,Normal,Spanish,0,Yes,56.924,Credit Card
19:40.5,2820,TCP  ,5.172.233.176,556,Microsoft Edge,,Male,DE,Normal,Spanish,0,Yes,19.6125,Debit Card
19:41.7,3866,TCP  ,5.175.83.27,639,Microsoft Edge,,Female,FI,Normal,Spanish,0,Yes,450.1275,Credit Card
21:40.2,2121,TCP  ,5.199.212.180,589,Mozilla Firefox,,Female,IT,Normal,Spanish,0,Yes,225.06,Credit Card
22:40.5,2739,TCP  ,5.226.174.246,540,Android App,,Female,IT,Normal,Spanish,0,Yes,450.12,Credit Card
25:40.2,3691,TCP  ,5.249.26.228,556,Chrome,,Male,CA,Normal,Spanish,0,Yes,1425.38,Credit Card
25:40.6,3731,TCP  ,5.254.97.112,556,IOS App,,Male,IT,Normal,Spanish,0,Yes,8.211,Cash
25:40.6,3355,TCP  ,5.255.253.12,515,IOS App,,Female,MX,Normal,Spanish,0,Yes,450.1275,Cash
26:40.6,4658,TCP  ,5.3.206.170,561,Others,,Female,PL,Normal,Spanish,0,Yes,225.06,Debit Card
28:40.2,4588,TCP  ,5.44.38.75,556,Chrome,,Male,IT,Normal,Spanish,0,Yes,162.64,Debit Card
28:40.2,2386,TCP  ,5.44.39.153,515,Chrome,,Female,US,Normal,Spanish,0,Yes,1140.304,Others
28:40.6,3367,TCP  ,5.44.39.5,515,Chrome,,Male,CN,Normal,Spanish,0,Yes,19.6125,Cash
31:40.2,3212,TCP  ,5.66.196.160,589,Android App,,Female,IN,Normal,English,0,Yes,450.12,Cash
31:40.2,2443,TCP  ,5.66.197.109,1726,Android App,,Male,US,Normal,English,0,Yes,25.088,Credit Card
31:40.2,2571,TCP  ,5.70.79.262,515,Android App,,Female,PR,Normal,English,0,Yes,1425.38,Credit Card
34:40.2,4611,TCP  ,5.9.145.132,586,Microsoft Edge,,Male,US,Normal,English,0,Yes,225.06,Others
36:40.2,2874,TCP  ,5.9.17.118,589,Safari,,Male,AR,Normal,English,0,Yes,143.36,Credit Card
36:40.2,2100,TCP  ,5.9.17.118,1726,Safari,,Female,IN,Normal,German,0,Yes,1140.304,Cash
37:40.6,3450,TCP  ,5.9.94.207,702,Chrome,,Female,IT,Normal,English,0,Yes,10.605,Debit Card
37:42.5,2689,TCP  ,5.9.94.207,639,Chrome,,Female,RU,Normal,English,0,Yes,7.322,Others
40:40.6,3293,TCP  ,8.37.225.196,556,Android App,,Male,PL,Normal,German,0,Yes,28.462,Debit Card
41:40.2,3922,TCP  ,8.37.225.216,589,Mozilla Firefox,,Male,AT,Normal,English,0,Yes,450.12,Credit Card
41:40.6,4388,TCP  ,8.37.225.226,561,Mozilla Firefox,,Male,CH,Normal,Spanish,0,Yes,35.19,Credit Card
43:40.6,2691,TCP  ,8.37.231.203,702,Others,,Female,IT,Normal,English,0,Yes,450.12,Cash
46:40.2,3049,TCP  ,12.130.162.9,469,Chrome,,Male,US,Normal,English,0,Yes,3780,Credit Card
46:40.2,1657,TCP  ,12.13.71.261,702,Others,,Male,CA,Normal,English,0,Yes,675.18,Cash
46:40.2,1887,TCP  ,12.131.115.88,586,Others,,Male,CN,Normal,English,0,Yes,24.633,Credit Card
46:40.6,2294,TCP  ,12.153.124.233,586,Others,,Male,AU,Normal,English,0,Yes,15.69,Cash
46:40.6,2211,TCP  ,12.156.96.97,556,Others,,Male,AT,Normal,English,0,Yes,1140.304,Cash
46:40.6,3857,TCP  ,12.31.244.13,132,Android App,,Male,IT,Normal,English,0,Yes,225.06,Credit Card
49:40.2,3371,TCP  ,14.0.157.2565,556,Mozilla Firefox,,Female,CN,Normal,English,0,Yes,43.9875,Cash
49:40.2,2489,TCP  ,14.0.159.173,515,Mozilla Firefox,,Male,NO,Normal,English,0,Yes,19.6125,Credit Card
49:42.5,4959,TCP  ,14.100.139.72,614,Chrome,,Female,IT,Normal,English,0,Yes,675.18,Credit Card
51:40.2,4081,TCP  ,14.140.50.89,561,Safari,,Female,US,Normal,English,0,Yes,16.422,Cash
51:40.6,4246,TCP  ,14.141.67.97,561,Others,,Female,IT,Normal,English,0,Yes,1425.38,Credit Card
52:40.2,1736,TCP  ,14.161.45.155,586,Microsoft Edge,,Female,SE,Normal,English,0,Yes,2700.765,Cash
52:40.2,2466,TCP  ,14.161.45.155,556,Microsoft Edge,,Male,CH,Normal,English,0,Yes,225.06,Cash
52:40.6,4833,TCP  ,14.161.9.205,515,IOS App,,Male,US,Normal,English,0,Yes,56.924,Credit Card
52:40.6,2886,TCP  ,14.164.12.40,586,IOS App,,Male,IN,Normal,English,0,Yes,19.6125,Credit Card
55:40.2,3814,TCP  ,14.187.75.144,702,Android App,,Female,US,Normal,English,0,Yes,16.422,Cash
55:40.2,3375,TCP  ,14.190.30.135,556,Android App,,Male,CA,Normal,English,0,Yes,1140.304,Cash
55:40.6,4725,TCP  ,14.192.210.2438,556,Android App,,Female,US,Normal,English,0,Yes,1140.304,Cash
55:40.6,4549,TCP  ,14.192.210.2611,515,Android App,,Female,CA,Normal,English,0,Yes,1620.459,Cash
55:42.2,2280,TCP  ,14.194.217.25,639,Android App,,Female,US,Normal,Spanish,0,Yes,114.688,Credit Card
56:40.2,3933,TCP  ,14.201.54.97,561,Android App,,Female,AR,Normal,English,0,Yes,675.18,Debit Card
56:40.2,4283,TCP  ,14.202.24.57,1724,Android App,,Male,DE,Normal,English,0,Yes,10.983,Cash
56:40.6,3411,TCP  ,14.207.208.137,589,Mozilla Firefox,,Female,IN,Normal,Thai,0,Yes,1140.304,Cash
58:40.2,3100,TCP  ,14.96.6.53,515,IOS App,,Male,US,Normal,English,0,Yes,143.36,Credit Card
58:40.6,3959,TCP  ,14.98.137.237,556,IOS App,,Male,IT,Normal,English,0,Yes,7.322,Cash
58:40.6,2726,TCP  ,14.98.176.163,515,IOS App,,Female,RU,Normal,English,0,Yes,19.6125,Cash
01:40.2,2368,TCP  ,23.105.157.167,589,Safari,,Female,CA,Normal,English,0,Yes,450.12,Credit Card
01:40.6,2079,TCP  ,23.105.56.178,469,IOS App,,Female,US,Normal,English,0,Yes,450.12,Others
01:40.6,3544,TCP  ,23.105.56.254,561,IOS App,,Female,CH,Normal,English,0,Yes,25.088,Credit Card
01:40.6,3312,TCP  ,23.105.56.81,589,Chrome,,Female,IN,Normal,English,0,Yes,10.605,Debit Card
04:40.2,1526,TCP  ,23.108.86.170,515,Android App,,Male,RU,Normal,English,0,Yes,675.18,Credit Card
06:40.2,3048,TCP  ,23.226.232.75,579,Android App,,Male,US,Normal,English,0,Yes,3.661,Others
07:40.6,2621,TCP  ,23.232.254.167,586,IOS App,,Female,AU,Normal,English,0,Yes,3.661,Others
10:40.2,2332,TCP  ,23.245.207.92,586,Safari,,Female,US,Normal,English,0,Yes,91.485,Credit Card
10:40.2,3812,TCP  ,23.247.151.201,515,IOS App,,Female,DE,Normal,English,0,Yes,450.12,Cash
13:40.2,4175,TCP  ,23.27.250.899,702,Others,,Female,AR,Normal,English,0,Yes,56.924,Cash
13:40.2,3519,TCP  ,23.29.6.244,556,Mozilla Firefox,,Female,IT,Normal,English,0,Yes,19.6125,Cash
19:42.0,2908,TCP  ,23.94.245.142,639,Chrome,,Female,SE,Normal,English,0,Yes,10.983,Credit Card
21:40.6,3327,TCP  ,23.95.236.212,561,Android App,,Female,GB,Normal,English,0,Yes,450.12,Others
22:40.2,2319,TCP  ,23.95.34.217,556,Android App,,Female,US,Normal,English,0,Yes,1140.304,Cash
26:40.6,3379,TCP  ,24.141.253.234,561,Others,,Male,RU,Normal,English,0,Yes,945,Cash
28:40.2,3286,TCP  ,24.180.96.149,702,Others,,Female,US,Normal,English,0,Yes,7.322,Cash
31:40.2,3380,TCP  ,24.204.192.9,589,Android App,,Male,IT,Normal,English,0,Yes,16.422,Credit Card
31:40.2,3372,TCP  ,24.205.50.108,579,Mozilla Firefox,,Female,PL,Normal,English,0,Yes,114.688,Credit Card
31:40.2,3456,TCP  ,24.209.155.75,515,Mozilla Firefox,,Female,KR,Normal,English,0,Yes,675.18,Cash
34:40.2,2097,TCP  ,24.241.9.48,586,Others,,Female,IT,Normal,English,0,Yes,91.485,Credit Card
36:40.2,2685,TCP  ,24.42.116.34,579,Chrome,,Male,US,Normal,English,0,Yes,16.422,Cash
36:40.6,2061,TCP  ,24.45.165.251,561,Others,,Female,IT,Normal,English,0,Yes,1890,Cash
37:42.3,1602,TCP  ,24.6.156.79,614,Android App,,Female,US,Normal,English,0,Yes,56.924,Credit Card
40:40.2,1854,TCP  ,24.88.234.214,702,Mozilla Firefox,,Male,PR,Normal,English,0,Yes,225.06,Cash
41:40.2,4100,TCP  ,27.106.94.144,1724,Microsoft Edge,,Female,IT,Normal,English,0,Yes,1140.304,Credit Card
41:40.6,2754,TCP  ,27.123.171.179,589,Safari,,Female,US,Normal,English,0,Yes,1140.304,Cash
43:40.6,2529,TCP  ,27.255.128.26,702,Microsoft Edge,,Male,RU,Normal,English,0,Yes,3.661,Cash
46:40.6,3922,TCP  ,27.58.135.232,556,Mozilla Firefox,,Male,AU,Normal,English,0,Yes,114.688,Credit Card
46:40.6,4885,TCP  ,27.58.136.120,515,Mozilla Firefox,,Male,CA,Normal,English,0,Yes,2280.646,Cash
49:40.6,4052,TCP  ,27.97.105.119,556,Mozilla Firefox,,Female,JP,Normal,English,0,Yes,10.983,Debit Card
49:41.7,3253,TCP  ,27.97.246.112,614,Android App,,Female,RU,Normal,English,0,Yes,1425.38,Cash
52:40.2,4481,TCP  ,31.135.145.179,702,Others,,Female,CA,Normal,English,0,Yes,2700.765,Cash
52:40.5,2259,TCP  ,31.135.213.34,702,Others,,Male,US,Normal,Russian,0,Yes,1080.306,Cash
55:40.3,4211,TCP  ,31.173.81.194,586,Chrome,,Male,PL,Normal,Russian,0,Yes,225.06,Cash
55:40.6,4097,TCP  ,31.173.85.144,556,Others,,Female,US,Normal,Russian,0,Yes,130.112,Credit Card
55:42.1,2808,TCP  ,31.18.248.206,639,Others,,Female,CN,Normal,Russian,0,Yes,15.69,Cash
55:42.1,2332,TCP  ,31.18.249.204,614,Others,,Female,NO,Normal,Spanish,0,Yes,1425.38,Cash
56:40.2,4307,TCP  ,31.192.21.191,1725,Android App,,Female,JP,Normal,Russian,0,Yes,56.924,Others
58:40.2,3736,TCP  ,31.28.3.212,469,Mozilla Firefox,,Female,CO,Normal,Russian,0,Yes,25.088,Debit Card
01:40.2,1924,TCP  ,31.50.70.53,579,Others,,Female,AT,Normal,English,0,Yes,1620.459,Credit Card
01:40.6,3557,TCP  ,36.255.47.765,92,Chrome,,Male,DE,Normal,English,0,Yes,1425.38,Credit Card
04:40.3,2885,TCP  ,36.38.77.102,702,Mozilla Firefox,,Female,CA,Normal,German,0,Yes,675.18,Credit Card
04:40.6,3694,TCP  ,36.66.232.259,702,Mozilla Firefox,,Female,JP,Normal,English,0,Yes,31.815,Debit Card
06:40.2,3693,TCP  ,36.76.146.164,1725,Chrome,,Male,CA,Normal,German,0,Yes,50.176,Cash
07:42.6,4343,TCP  ,36.84.13.645,614,Microsoft Edge,,Female,IN,Normal,English,0,Yes,43.9875,Cash
